Field,Data element,Description,Key Field,Checktable,Datatype,Length,Decimals,Possible values
PRZUS,PRZUS,Indicator: Product composition printed on packaging,,,CHAR,1,0,Possible values
MTPOS_MARA,MTPOS_MARA,General item category group,,TPTM,CHAR,4,0,
BFLME,BFLME,Generic Material with Logistical Variants,,,CHAR,1,0,Possible values
MATFI,MATFI,Material Is Locked,,,CHAR,1,0,Possible values
CMREL,DE_CM_RELEVANCE_FLAG,Relevant for Configuration Management,,,CHAR,1,0,Possible values
BBTYP,BBTYP,Assortment List Type,,,CHAR,1,0,
SLED_BBD,SLED_BBD,Expiration Date,,,CHAR,1,0,Possible values
GTIN_VARIANT,GTIN_VARIANT,Global Trade Item Number Variant,,,CHAR,2,0,
GENNR,WSTR_SATNR_PP,Material Number of the Generic Material in Prepack Materials,,MARA,CHAR,18,0,
RMATP,PL_RMATP,Reference material for materials packed in same way,,MARA,CHAR,18,0,
GDS_RELEVANT,GDS_RELEVANT,Indicator: Global Data Synchronization-Relevant,,,CHAR,1,0,Possible values
WEORA,WEORA,Acceptance At Origin,,,CHAR,1,0,Possible values
HUTYP_DFLT,CIFHUTYPDF,Standard HU Type,,THUTYP,CHAR,4,0,
PILFERABLE,CIFPILFRBL,Pilferable,,,CHAR,1,0,Possible values
WHSTC,CIFWHSTC,Warehouse Storage Condition,,TWHSTC,CHAR,2,0,
WHMATGR,CIFWHMATGR,Warehouse Material Group,,TWHMATGR,CHAR,4,0,
HNDLCODE,CIFHDLCODE,Handling Indicator,,THNDLCD,CHAR,4,0,
HAZMAT,CIFHAZMAT,Relevant for Hazardous Substances,,,CHAR,1,0,Possible values
HUTYP,CIFHUTYP,Handling Unit Type,,THUTYP,CHAR,4,0,
TARE_VAR,CIFTAREVAR,Variable Tare Weight,,,CHAR,1,0,Possible values
MAXC,CIFMAXC,Maximum Allowed Capacity of Packaging Material,,,DEC,15,3,
MAXC_TOL,CIFMAXCTOL,Overcapacity Tolerance of the Handling Unit,,,DEC,3,1,
MAXL,CIFMAXL,Maximum Packing Length of Packaging Material,,,QUAN,15,3,
MAXB,CIFMAXB,Maximum Packing Width of Packaging Material,,,QUAN,15,3,
MAXH,CIFMAXH,Maximum Packing Height of Packaging Material,,,QUAN,15,3,
MAXDIM_UOM,CIFMAXDUOM,Unit of Measure for Maximum Packing Length/Width/Height,,T006,UNIT,3,0,
HERKL,HERKL,Country of origin of the material,,T005,CHAR,3,0,
MFRGR,MFRGR,Material freight group,,TMFG,CHAR,8,0,
QQTIME,CIFQQTIME,Quarantine Period,,,QUAN,3,0,
QQTIMEUOM,CIFQQTIMEUOM,Time Unit for Quarantine Period,,T006,UNIT,3,0,
QGRP,CIFQGRP,Quality Inspection Group,,TQGRP,CHAR,4,0,
SERIAL,CIFSERIAL,Serial Number Profile,,TSERIAL,CHAR,4,0,
PS_SMARTFORM,CIFPSSFNAME,Form Name,,STXFADM,CHAR,30,0,
LOGUNIT,CIFLOGUNIT,EWM CW: Logistics Unit of Measure,,MARM,UNIT,3,0,
CWQREL,CIFCWQREL,EWM CW: Material Is a Catch Weight Material,,,CHAR,1,0,Possible values
CWQPROC,CIFCWQPROC,EWM CW: Catch Weight Profile for Entering CW Quantity,,TCWQPROC,CHAR,2,0,
CWQTOLGR,CIFCWQTOLGR,EWM-CW: Catch Weight Tolerance Group for EWM,,TCWQTOLGR,CHAR,9,0,
ADPROF,CIFADPROF,Adjustment Profile,,TAPROF,CHAR,3,0,
IPMIPPRODUCT,CRM_PRODUCT_ID_IP,ID for an Intellectual Property (CRM Product),,,CHAR,40,0,
ALLOW_PMAT_IGNO,WPM_ALLOW_PMAT_IGNO_MAT,Variant Price Allowed (for Material Master),,,CHAR,1,0,Possible values
MEDIUM,MEDIU,Medium,,T372M,CHAR,6,0,
